                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1774,                0.18694,                0.60219,                0.37286,                0.28347,                0.24942,                0.08472,                0.79125,                0.86235,                0.06347,               0.015135,              8.495e-05,              8.495e-05
                      2,                 1.1586,                 0.6611,                0.14737,                0.19899,                0.68661,                0.27137,                0.13154,                0.45972,                 1.1131,                0.03144,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.0121,                 0.6945,                0.12995,                0.39489,                0.43747,                0.40231,                 0.1265,                0.76557,                0.69237,                0.05135,                 0.0001,                 0.0001,                 0.0001
                      4,                0.97932,                0.62894,                0.12091,                 0.6001,                0.75331,                0.68049,                0.25435,                0.67148,                0.67044,                0.04998,                 0.0001,                 0.0001,                 0.0001
                      5,                0.93586,                 0.6008,                0.10888,                0.65594,                0.78372,                0.73785,                0.41129,                0.47313,                0.70516,                 0.0318,                 0.0001,                 0.0001,                 0.0001
                      6,                0.91164,                0.59746,                0.10468,                0.67078,                0.78666,                0.76931,                0.48877,                 0.4128,                0.67357,                0.02843,                 0.0001,                 0.0001,                 0.0001
                      7,                0.87374,                0.60151,                0.09991,                0.68978,                0.79824,                0.78783,                0.51896,                0.36558,                 0.6975,                0.02436,                 0.0001,                 0.0001,                 0.0001
                      8,                0.85939,                0.58984,                0.09607,                0.71023,                0.83062,                0.81423,                0.54128,                0.34442,                0.67582,                0.02196,                 0.0001,                 0.0001,                 0.0001
                      9,                0.84065,                0.59226,                0.08892,                0.72566,                 0.8205,                0.82239,                0.55036,                0.34097,                0.67743,                0.02307,                 0.0001,                 0.0001,                 0.0001
                     10,                0.82299,                0.58892,                0.09065,                0.73962,                0.82786,                0.83134,                0.57425,                0.32672,                0.66846,                0.02204,                 0.0001,                 0.0001,                 0.0001
                     11,                0.81855,                0.59055,                0.08923,                0.74048,                0.82982,                0.83603,                0.58046,                0.32239,                0.66904,                0.02157,                 0.0001,                 0.0001,                 0.0001
                     12,                0.78041,                0.59891,                0.08401,                0.73652,                0.83619,                0.83938,                0.58436,                0.31799,                0.66511,                 0.0215,                 0.0001,                 0.0001,                 0.0001
                     13,                0.80049,                0.58899,                0.08881,                0.73713,                0.84029,                0.84044,                0.58694,                0.31655,                0.66553,                0.02136,                 0.0001,                 0.0001,                 0.0001
                     14,                0.76942,                0.59371,                0.08142,                0.74915,                0.83619,                0.84631,                0.58746,                0.32065,                0.66118,                0.02199,                 0.0001,                 0.0001,                 0.0001
                     15,                 0.7637,                0.58674,                0.08446,                 0.7483,                0.84453,                0.85311,                0.59023,                0.32131,                0.65583,                0.02216,                 0.0001,                 0.0001,                 0.0001
                     16,                0.78356,                0.58529,                0.08768,                0.75763,                0.84318,                0.85592,                0.58742,                0.32904,                0.65125,                0.02338,                 0.0001,                 0.0001,                 0.0001
                     17,                0.75377,                0.59476,                 0.0803,                0.75956,                0.84944,                0.85762,                0.58853,                 0.3281,                0.64905,                0.02316,                 0.0001,                 0.0001,                 0.0001
                     18,                0.76217,                 0.5915,                0.08366,                0.76246,                0.84698,                 0.8613,                0.59582,                0.32309,                0.64466,                0.02206,                 0.0001,                 0.0001,                 0.0001
                     19,                0.73787,                0.59656,                0.07668,                0.76817,                0.84551,                0.86466,                 0.5981,                0.32269,                0.64044,                0.02131,                 0.0001,                 0.0001,                 0.0001
                     20,                0.72195,                0.59384,                0.07542,                0.76843,                0.85116,                0.86777,                0.60506,                0.31244,                0.64131,                0.02034,                 0.0001,                 0.0001,                 0.0001
                     21,                 0.7256,                0.59775,                0.07485,                 0.7746,                0.84607,                0.87008,                0.60533,                0.31623,                0.63724,                0.02057,                 0.0001,                 0.0001,                 0.0001
                     22,                0.71377,                0.59341,                0.07184,                0.78096,                0.84747,                0.87458,                0.61382,                0.30893,                0.63482,                   0.02,                 0.0001,                 0.0001,                 0.0001
                     23,                0.70259,                0.59689,                0.07266,                0.78501,                0.84944,                0.87811,                0.61742,                0.30225,                0.63584,                0.01952,                 0.0001,                 0.0001,                 0.0001
                     24,                0.71251,                0.59222,                0.07412,                0.78762,                0.85336,                0.88073,                0.62191,                0.29859,                0.63331,                0.01923,                 0.0001,                 0.0001,                 0.0001
                     25,                0.68624,                0.60181,                0.07132,                0.78872,                0.86121,                0.88504,                0.62982,                0.29052,                 0.6288,                0.01862,                 0.0001,                 0.0001,                 0.0001
                     26,                0.69195,                0.59849,                0.06934,                0.79507,                0.86193,                 0.8878,                0.63294,                0.28785,                0.62721,                0.01813,                 0.0001,                 0.0001,                 0.0001
                     27,                0.70646,                0.59288,                0.07228,                0.79433,                0.86072,                0.88939,                0.63576,                0.28688,                0.62177,                 0.0189,                 0.0001,                 0.0001,                 0.0001
